custid,dropperc,mins,consecmonths,income,churn_Y,prob
844336,0.0163636363636364,550,28,89.2,0,0.005922322795110226
146041,0.018348623853211003,545,33,54.2,0,0.0009471409035263218
847745,0.0185185185185185,378,41,55.3,0,0.0004502638759278213
285565,0.0144927536231884,552,32,66.8,0,0.0026023014547368922
754611,0.0121317157712305,577,4,87.2,0,0.00010210902196000014
100018,0.0244360902255639,532,26,57.6,0,0.04598474548819848
195381,0.0139664804469274,716,18,78.2,0,0.0002386735321091862
665504,0.0139720558882236,501,22,79.2,0,0.00023375061399015547
529231,0.0238095238095238,462,13,102.3,0,0.0005838696336948695
358025,0.022883295194508,437,42,81.6,0,0.08231568057098594
441653,0.04,275,15,96.7,0,8.043839091293828e-05
430610,0.0209302325581395,430,23,23.2,0,0.00037970926430167776
273314,0.0277227722772277,505,32,74.6,0,0.406459383259912
57668,0.0127478753541076,706,33,119.9,0,0.0004955902171483967
717684,0.0142348754448399,562,28,62.5,0,0.004438148073341269
637210,0.025,280,22,107.3,0,0.00026785919099185765
351148,0.0111731843575419,716,24,56.5,0,0.0007564425349635433
959615,0.0161943319838057,494,31,56.9,0,0.001611518249582712
747647,0.0177165354330709,508,20,39.0,0,8.422752192307299e-05
927542,0.0241758241758242,455,31,88.3,0,0.05799824172123514
18523,0.0192878338278932,674,24,51.3,0,0.004728329434495248
127001,0.0323974082073434,463,24,90.0,1,0.685449932826843
384131,0.0183946488294314,598,15,88.6,0,0.00023296209513887437
98467,0.027027027027027,444,13,59.3,0,0.0006369270203394136
185604,0.0127118644067797,472,22,29.2,0,2.875470494606562e-05
243163,0.0134003350083752,597,32,76.7,0,0.0006199803555472091
144652,0.015358361774744,586,17,74.8,0,0.00013913654369099507
941654,0.0264765784114053,491,37,24.6,0,0.09054183977738794
288493,0.0208768267223382,479,21,62.8,0,0.00021671585717543984
860457,0.0224525043177893,579,21,84.8,0,0.0017012963704348954
127386,0.0165441176470588,544,19,55.6,0,0.00010027591063837573
937795,0.0416666666666667,288,23,61.2,0,3.4820842772825324e-05
831993,0.0192644483362522,571,32,53.3,0,0.0023245326298622984
435945,0.0263852242744063,379,29,98.8,0,0.0371085148576188
449853,0.0177304964539007,564,24,81.2,0,0.0058889382723993295
184369,0.0125,480,41,46.8,0,0.00010980911155644467
601428,0.0119760479041916,668,20,74.7,0,9.098069041375373e-05
518246,0.025,440,26,88.3,0,0.06421818341981764
698042,0.0157819225251076,697,32,61.1,0,0.0034632964685557773
99579,0.0238095238095238,504,38,77.8,1,0.26480315191013026
702464,0.0223048327137546,538,32,86.4,0,0.05024939392259637
873682,0.0319148936170213,282,20,90.5,0,3.855113739641743e-05
