custid,dropperc,mins,consecmonths,income,churn_Y
844336,0.0163636363636364,550,28,89.2,0
146041,0.018348623853211003,545,33,54.2,0
847745,0.0185185185185185,378,41,55.3,0
285565,0.0144927536231884,552,32,66.8,0
754611,0.0121317157712305,577,4,87.2,0
100018,0.0244360902255639,532,26,57.6,0
195381,0.0139664804469274,716,18,78.2,0
665504,0.0139720558882236,501,22,79.2,0
529231,0.0238095238095238,462,13,102.3,0
358025,0.022883295194508,437,42,81.6,0
441653,0.04,275,15,96.7,0
430610,0.0209302325581395,430,23,23.2,0
273314,0.0277227722772277,505,32,74.6,0
57668,0.0127478753541076,706,33,119.9,0
717684,0.0142348754448399,562,28,62.5,0
637210,0.025,280,22,107.3,0
351148,0.0111731843575419,716,24,56.5,0
959615,0.0161943319838057,494,31,56.9,0
747647,0.0177165354330709,508,20,39.0,0
927542,0.0241758241758242,455,31,88.3,0
18523,0.0192878338278932,674,24,51.3,0
127001,0.0323974082073434,463,24,90.0,1
384131,0.0183946488294314,598,15,88.6,0
98467,0.027027027027027,444,13,59.3,0
185604,0.0127118644067797,472,22,29.2,0
243163,0.0134003350083752,597,32,76.7,0
144652,0.015358361774744,586,17,74.8,0
941654,0.0264765784114053,491,37,24.6,0
288493,0.0208768267223382,479,21,62.8,0
860457,0.0224525043177893,579,21,84.8,0
127386,0.0165441176470588,544,19,55.6,0
937795,0.0416666666666667,288,23,61.2,0
831993,0.0192644483362522,571,32,53.3,0
435945,0.0263852242744063,379,29,98.8,0
449853,0.0177304964539007,564,24,81.2,0
184369,0.0125,480,41,46.8,0
601428,0.0119760479041916,668,20,74.7,0
518246,0.025,440,26,88.3,0
698042,0.0157819225251076,697,32,61.1,0
99579,0.0238095238095238,504,38,77.8,1
702464,0.0223048327137546,538,32,86.4,0
873682,0.0319148936170213,282,20,90.5,0
379826,0.0159651669085631,689,29,90.5,0
735337,0.0321361058601134,529,44,69.7,0
931548,0.0142566191446029,491,32,36.3,0
54918,0.0174757281553398,515,17,61.5,0
655089,0.0118811881188119,505,28,72.6,0
450972,0.011686143572621,599,24,80.8,0
433315,0.0128440366972477,545,22,96.0,0
854319,0.0183066361556064,437,21,78.8,0
444703,0.036036036036036015,333,22,73.2,0
256550,0.0136752136752137,585,39,77.4,0
200606,0.0263157894736842,342,31,64.0,0
792794,0.0323624595469256,309,42,94.2,1
134503,0.0172661870503597,695,18,47.5,0
490233,0.014827018121911,607,27,98.2,0
444448,0.0125448028673835,558,31,65.4,0
774125,0.0196463654223969,509,35,12.4,0
272365,0.0217391304347826,414,33,80.4,0
444826,0.0276595744680851,470,34,87.6,1
115329,0.0151260504201681,595,30,73.3,0
148486,0.0221130221130221,407,35,56.9,0
675026,0.0275,400,27,47.0,0
277582,0.0243445692883895,534,44,56.1,0
120514,0.0113636363636364,528,22,59.5,0
170275,0.019559902200489,409,19,90.6,0
187187,0.0391061452513966,358,30,93.0,1
837617,0.0222222222222222,450,35,47.1,0
3651,0.0189393939393939,528,25,53.2,0
788090,0.013986013986014,429,11,77.9,0
960071,0.0206422018348624,436,20,74.6,0
175256,0.0155555555555556,450,17,61.3,0
431954,0.0256410256410256,429,34,87.9,0
